image_id,disease_name,category,confidence,severity,description,differential_diagnosis,precautions,recommended_medicines,recommended_diet,recommended_specialist
IMG_001.jpg,"Viral Pneumonia (Chest X-Ray)","Chest X-Ray & Pulmonology",95.1,Severe,"Bilateral diffuse interstitial infiltrates and peribronchial thickening visible on posterior-anterior chest radiograph. Verified medical training sample image reference IMG_001.jpg.","Bacterial Pneumonia; Pulmonary Edema; COVID-19 Pneumonitis","Oxygen saturation monitoring; Isolation protocol; Sputum culture","Azithromycin 500mg (Oral tablet,  Once daily)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_002.jpg,"Pulmonary Tuberculosis (Chest Radiograph)","Chest X-Ray & Pulmonology",98.2,Severe,"Upper lobe apical cavitary lesion with focal consolidations and mediastinal lymphadenopathy on chest X-ray. Verified medical training sample image reference IMG_002.jpg.","Lung Abscess; Fungal Infection; Bronchogenic Carcinoma","Airborne isolation; Acid-fast bacilli stain; Report to public health","Rifampin + Isoniazid + Pyrazinamide + Ethambutol (Quadruple RIPE regimen,  2 months))","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_003.jpg,"Pneumothorax (Right Hemithorax X-Ray)","Chest X-Ray & Pulmonology",93.5,Severe,"Visceral pleural line detachment with absence of peripheral lung markings in right upper zone on erect X-ray. Verified medical training sample image reference IMG_003.jpg.","Giant Bulla; Pulmonary Embolism; Pleurisy","Urgent needle decompression if tension features; Avoid high altitude air travel","Intercostal Chest Tube Insertion (Tube thoracostomy drainage procedure), As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_004.jpg,"Cardiomegaly & Pulmonary Congestion","Chest X-Ray & Pulmonology",96.6,High,"Enlarged cardiac silhouette with cardio-thoracic ratio >0.50, Kerley B lines, and vascular cephalization on erect CXR. Verified medical training sample image reference IMG_004.jpg.","Pericardial Effusion; Heart Failure; Dilated Cardiomyopathy","Sodium fluid restriction; Daily weight monitoring; ECG evaluation","Furosemide 40mg (Oral/IV loop diuretic,  Daily morning dose))","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_005.jpg,"Atelectasis (Left Lower Lobe Collapse)","Chest X-Ray & Pulmonology",99.7,Moderate,"Increased opacity with volume loss, elevation of left hemidiaphragm, and ipsilateral tracheal deviation on CXR. Verified medical training sample image reference IMG_005.jpg.","Pleural Effusion; Pneumonic Consolidation; Foreign Body Aspiration","Chest physiotherapy; Deep breathing incentive spirometry","Bronchodilator Albuterol Nebulization (4x/day as needed), As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_006.jpg,"Pleural Effusion (Bilateral Basal)","Chest X-Ray & Pulmonology",95,High,"Blunting of costophrenic angles with meniscus sign and homogeneous fluid opacity in lower lung zones. Verified medical training sample image reference IMG_006.jpg.","Empyema; Hemothorax; Congestive Heart Failure","Diagnostic thoracentesis; Pleural fluid protein/LDH analysis","Therapeutic Thoracentesis drainage (Single clinical procedure), As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_007.jpg,"COVID-19 Ground-Glass Opacities","Chest X-Ray & Pulmonology",98.1,Severe,"Bilateral peripheral and basal ground-glass attenuation with multi-focal air-space consolidations on chest X-ray. Verified medical training sample image reference IMG_007.jpg.","Influenza Pneumonia; Mycoplasma Pneumonia; Acute Respiratory Distress","Pulse oximetry monitoring; Proning positioning; Corticosteroid assessment","Dexamethasone 6mg (Oral/IV daily,  10 days for oxygen support))","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_008.jpg,"Chronic Obstructive Pulmonary Disease (COPD)","Chest X-Ray & Pulmonology",93.4,Moderate,"Hyperinflated lung fields, flattened diaphragmatic domes, retrosternal space widening, and attenuated vessels. Verified medical training sample image reference IMG_008.jpg.","Asthma Exacerbation; Emphysema; Bronchiectasis","Smoking cessation; Pneumococcal & Influenza vaccination","Tiotropium Inhaler 18mcg (Dry powder inhalation,  Once daily morning))","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_009.jpg,"Solitary Pulmonary Nodule (Coin Lesion)","Chest X-Ray & Pulmonology",96.5,Moderate,"Well-circumscribed radiopaque nodule <3cm in right upper lobe without calcification on high-resolution CXR. Verified medical training sample image reference IMG_009.jpg.","Granuloma; Hamartoma; Primary Bronchogenic Adenocarcinoma","Compare prior CXRs; High-resolution chest CT scan scheduling","Chest CT with IV Contrast & PET-CT evaluation (Standard application, As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
IMG_010.jpg,"Idiopathic Pulmonary Fibrosis","Chest X-Ray & Pulmonology",99.6,Severe,"Bilateral reticular subpleural opacities with honeycombing appearance and traction bronchiectasis. Verified medical training sample image reference IMG_010.jpg.","Asbestosis; Sarcoidosis; Connective Tissue Lung Disease","Pulmonary function test (PFT); Avoid environmental irritants","Pirfenidone / Nintedanib 200mg (Anti-fibrotic daily oral therapy), As prescribed)","Anti-inflammatory dietary protocol; Adequate hydration (2.5L daily); Targeted nutritional supplementation","Consultant Radiologist / Orthopedic Surgeon"
